fish,SAMPLE,strain,unsegmented_psm_area,intercept,std_error,t-value,p-value,mean,sd,sem,median,IQR,Date_of_imaging,Microscope,reporter_geno
KC109,109,Kaga/Cab_F2,27966,57.2916551724138,0.232795017441389,246.103442428007,3.02471797738636e-48,58.84,1.07,0.2,59.3,1.43,14_12_20,AU,-1
KC110,110,Kaga/Cab_F2,31005,57.2445057471264,0.145423127777172,393.641002102779,5.89964006042235e-54,57.81,0.5,0.09,57.49,0.3,14_12_20,AU,0
KC111,111,Kaga/Cab_F2,26828,57.0791264367816,0.138910215850965,410.906613938468,1.7738397954235e-54,58.75,1.02,0.19,59.14,1.73,14_12_20,AU,0
KC112,112,Kaga/Cab_F2,25549,60.4400689655172,0.149021492946783,405.579542724761,2.55603713809073e-54,62.83,1.41,0.26,62.31,2.04,14_12_20,AU,0
KC113,113,Kaga/Cab_F2,22191,64.4550574712643,0.0973299748352512,662.232344972515,2.79274026452363e-60,62.88,0.93,0.17,62.76,1.81,14_12_20,AU,-1
KC114,114,Kaga/Cab_F2,31468,55.8391264367816,0.29048435047745,192.227658202594,3.04368856418142e-45,59.21,2.06,0.38,60.05,3.16,14_12_20,AU,-1
KC115,115,Kaga/Cab_F2,NA,55.5985517241379,0.113319666552719,490.634621645946,1.23817983318524e-56,57.2,0.95,0.18,57.49,1.73,14_12_20,AU,0
KC116,116,Kaga/Cab_F2,30582,59.8239770114942,0.335801275564239,178.152917706978,2.55453293688959e-44,63.56,2.3,0.43,64.57,3.77,14_12_20,AU,-1
KC117,117,Kaga/Cab_F2,27529,63.584367816092,0.22420971507403,283.593276924229,5.7169544783681e-50,64.53,0.8,0.15,64.42,0.75,14_12_20,DB,0
KC118,118,Kaga/Cab_F2,29429,62.1612183908046,0.313028957006826,198.579770335589,1.22558875002962e-45,64.45,1.54,0.29,64.72,0.61,14_12_20,DB,0
KC119,119,Kaga/Cab_F2,26938,60.4271954022988,0.100884624856729,598.97328743715,4.64332697611936e-59,62.44,1.18,0.22,62.16,2.11,14_12_20,DB,0
KC120,120,Kaga/Cab_F2,24498,65.0496781609195,0.436970939173695,148.864998399957,3.88224123562169e-42,65.68,1.2,0.22,65.78,1.81,14_12_20,DB,-1
KC121,121,Kaga/Cab_F2,25743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KC122,122,Kaga/Cab_F2,25823,62.6733793103448,0.118875618806004,527.218112005145,1.65339128255737e-57,65.09,1.41,0.26,64.88,2.93,14_12_20,DB,-1
KC123,123,Kaga/Cab_F2,21631,61.8470574712643,0.358369268867215,172.579132320021,6.21586980821997e-44,60.51,1.21,0.22,60.5,0.61,15_12_20,AU,-1
KC124,124,Kaga/Cab_F2,24401,59.1521149425287,0.0837548237171589,706.253231960539,4.60759399042766e-61,59.04,0.23,0.04,58.99,0.31,15_12_20,AU,0
KC125,125,Kaga/Cab_F2,22012,56.1354712643678,0.148715972633137,377.467667194342,1.90945125925046e-53,58.16,1.21,0.23,58.24,2.65,15_12_20,AU,-1
KC126,126,Kaga/Cab_F2,22675,62.0667586206896,0.260327624765377,238.417873157441,7.3504780498506e-48,65.1,1.86,0.34,65.93,3.16,15_12_20,AU,0
KC127,127,Kaga/Cab_F2,22501,57.3069655172414,0.212700896701484,269.425124228175,2.39973587180773e-49,56.52,0.71,0.13,56.28,0.6,15_12_20,AU,-1
KC128,128,Kaga/Cab_F2,24739,63.2543448275862,0.0834246261400144,758.221495909664,6.31131466460098e-62,66.55,1.89,0.35,66.83,2.94,15_12_20,AU,0
KC129,129,Kaga/Cab_F2,24358,60.5891264367816,0.106579660242952,568.486766599431,2.00455239832775e-58,62.11,0.91,0.17,62.16,1.5,15_12_20,AU,0
KC130,130,Kaga/Cab_F2,28517,61.7480229885057,0.0682805353539312,904.328337035374,4.54321763315563e-64,63.6,1.07,0.2,63.82,1.81,15_12_20,AU,-1
KC131,131,Kaga/Cab_F2,26813,57.2471954022988,0.222818166684677,256.923375028539,9.0719947301643e-49,62.41,2.99,0.56,61.86,5.88,15_12_20,AU,-1
KC132,132,Kaga/Cab_F2,26254,57.1705517241379,0.17226354702580499,331.87840788843,7.01117474421684e-52,60.95,2.19,0.41,60.95,4.15,16_12_20,AU,-1
KC133,133,Kaga/Cab_F2,29277,56.2150574712643,0.147651545067048,380.72786468802,1.50089704440768e-53,57.67,0.91,0.17,58.24,1.43,16_12_20,AU,0
KC134,134,Kaga/Cab_F2,31744,56.6085747126436,0.0813731361206138,695.666621828814,7.03273055644209e-61,57.33,0.46,0.09,57.19,0.53,16_12_20,AU,NA
KC135,135,Kaga/Cab_F2,24155,58.7486436781609,0.252457906757216,232.706689335971,1.44880580859967e-47,61.13,1.5,0.28,61.41,3.01,16_12_20,AU,-1
KC136,136,Kaga/Cab_F2,25250,61.8254482758621,0.104097295235232,593.919833710889,5.8864160290297e-59,64.56,1.58,0.29,64.88,2.56,16_12_20,AU,-1
