fish,SAMPLE,strain,unsegmented_psm_area,intercept,std_error,t-value,p-value,mean,sd,sem,median,IQR,Date_of_imaging,Microscope,reporter_geno,reporter_pheno
KC149,149,Kaga/Cab_F2,23366,-0.23289674745766997,0.0684992551770762,875123870739466,1.13902944046206e-49,6341,1.97,0.37,6337,3.54,16_12_20,DB,0,0
KC150,150,Kaga/Cab_F2,28883,0.33106675923998713,0.189987243989212,326710621573294,1.08788752669861e-37,6416,1.29,0.24,6457,2.42,16_12_20,DB,0,0
KC151,151,Kaga/Cab_F2,26434,0.5851961377260698,0.316051700287091,199833593899562,1.02768277230885e-31,6941,3.65,0.68,703,5.88,16_12_20,DB,0,0
KC152,152,Kaga/Cab_F2,25810,0.8034174267574303,0.152552271079231,387277996670073,9.31023180594178e-40,5946,0.45,0.08,593,0.61,5_1_21,AU,-1,0
KC153,153,Kaga/Cab_F2,27206,-0.2842789238386996,0.382372704490873,142566625615919,1.3004842681756501e-27,6158,4.14,0.77,6095,8.81,5_1_21,AU,0,0
KC154,154,Kaga/Cab_F2,26126,0.03730001240721404,0.14870246402243,376992261220794,1.97801998739242e-39,5685,0.59,0.11,5719,1.13,5_1_21,AU,-1,0
KC155,155,Kaga/Cab_F2,25587,0.41182769841550676,0.172258094763518,334263590192668,5.7375954088684e-39,5695,0.58,0.11,5673,0.3,5_1_21,AU,NA,0
KC156,156,Kaga/Cab_F2,27793,0.1875505698838861,0.269476953679917,210329205482043,2.45351961086222e-32,5822,1.13,0.21,5839,2.11,5_1_21,AU,0,0
KC157,157,Kaga/Cab_F2,25748,-0.671439652420022,0.0920030372441815,618821399610507,1.86396553996159e-45,6029,1.92,0.36,6005,3.47,5_1_21,AU,-1,-1
KC158,158,Kaga/Cab_F2,25511,1.6404792338706744,0.284955113660682,223186270105854,4.66342005305764e-33,6519,1.17,0.22,6563,1.21,5_1_21,AU,NA,0
KC159,159,Kaga/Cab_F2,23238,-0.03405521911455092,0.391425241685527,142627431923122,1.28506950207815e-27,5766,1.46,0.27,5719,0.53,5_1_21,AU,0,0
KC160,160,Kaga/Cab_F2,25113,0.26072071346641645,0.392246312627943,145527898597074,7.31873409042729e-28,5919,1.58,0.29,5869,2.04,5_1_21,AU,NA,-1
KC161,161,Kaga/Cab_F2,25875,0.483530265348844,0.149568565158776,387530720319292,9.14174651877118e-40,5801,0.39,0.07,5809,0.6,5_1_21,AU,0,0
KC162,162,Kaga/Cab_F2,23897,-0.9070952388315134,0.223313234005412,278532118004567,9.46385117092509e-36,6378,1.07,0.2,6412,2.04,5_1_21,DB,0,0
KC163,163,Kaga/Cab_F2,21074,-0.5444401635720921,0.182879264631444,318884338532638,2.14461429420346e-37,6208,2.19,0.41,6216,4.67,5_1_21,DB,0,-1
KC164,164,Kaga/Cab_F2,25974,0.3839842797097507,0.134036502046159,464060755915201,5.88622606373464e-42,6276,0.47,0.09,6261,0.83,5_1_21,DB,0,0
KC165,165,Kaga/Cab_F2,27043,-0.46548502496932015,0.128159678646122,458148113063371,8.42844454767445e-42,5895,0.36,0.07,5899,0.61,5_1_21,DB,0,0
KC166,166,Kaga/Cab_F2,24552,-0.5102147922178217,0.468634022114943,125120011535338,5.00085345801883e-26,6247,2.5,0.46,6111,3.09,5_1_21,DB,NA,0
KC167,167,Kaga/Cab_F2,23525,-0.4989398175338109,0.298213185005785,196702373767184,1.59873347532571e-31,6182,1.96,0.36,6126,2.33,5_1_21,DB,-1,-1
KC168,168,Kaga/Cab_F2,28249,0.9460681213053155,0.154352765136558,388539297559525,8.50017824781179e-40,6205,1.25,0.23,6156,2.65,6_1_21,AU,-1,-1
KC169,169,Kaga/Cab_F2,27510,-0.5922444112889692,0.111846788743418,57122537764135,1.75219538894303e-44,6755,2.1,0.39,6789,3.77,6_1_21,AU,0,0
